Random Seed,Packet arrival count,Transmitted packet count ,Service Fraction ,Arrival rate,Mean Delay (msec),B_t,B_d,block_rate,output_rate,clk_tic,
3,10001, 10000,0.99990,500.000, 1.503831, 10, 15, 0.000, 0.499, 0.000500, 
3,10001, 10000,0.99990,500.000, 1.503831, 15, 15, 0.000, 0.499, 0.000500, 
3,10001, 10000,0.99990,500.000, 1.503831, 20, 15, 0.000, 0.499, 0.000500, 
3,10001, 10000,0.99990,500.000, 1.503831, 25, 15, 0.000, 0.499, 0.000500, 
4,10175, 10000,0.98280,950.000, 6.321751, 5, 15, 0.017, 0.932, 0.000500, 
4,10175, 10000,0.98280,950.000, 6.321751, 10, 15, 0.017, 0.932, 0.000500, 
4,10175, 10000,0.98280,950.000, 6.321751, 15, 15, 0.017, 0.932, 0.000500, 
4,10175, 10000,0.98280,950.000, 6.321751, 20, 15, 0.017, 0.932, 0.000500, 
4,10175, 10000,0.98280,950.000, 6.321751, 25, 15, 0.017, 0.932, 0.000500, 
5,10371, 10000,0.96423,1000.000, 8.141508, 5, 15, 0.035, 0.963, 0.000500, 
5,10371, 10000,0.96423,1000.000, 8.141508, 10, 15, 0.035, 0.963, 0.000500, 
5,10371, 10000,0.96423,1000.000, 8.141508, 15, 15, 0.035, 0.963, 0.000500, 
5,10371, 10000,0.96423,1000.000, 8.141508, 20, 15, 0.035, 0.963, 0.000500, 
5,10371, 10000,0.96423,1000.000, 8.141508, 25, 15, 0.035, 0.963, 0.000500, 
6,14918, 10000,0.67033,1500.000, 14.809769, 5, 15, 0.329, 1.000, 0.000500, 
6,14918, 10000,0.67033,1500.000, 14.809769, 10, 15, 0.329, 1.000, 0.000500, 
6,14918, 10000,0.67033,1500.000, 14.809769, 15, 15, 0.329, 1.000, 0.000500, 
6,14918, 10000,0.67033,1500.000, 14.809769, 20, 15, 0.329, 1.000, 0.000500, 
6,14918, 10000,0.67033,1500.000, 14.809769, 25, 15, 0.329, 1.000, 0.000500, 
